CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3.8 obs_pS.py
MEM 144.269531 1622089001.4113
MEM 144.269531 1622089001.5196
MEM 144.269531 1622089001.6243
MEM 144.269531 1622089001.7298
MEM 145.421875 1622089001.8402
MEM 145.421875 1622089001.9491
MEM 145.429688 1622089002.0612
MEM 145.445312 1622089002.1702
MEM 145.472656 1622089002.2795
MEM 145.480469 1622089002.3880
MEM 145.488281 1622089002.4959
MEM 145.496094 1622089002.6046
MEM 145.500000 1622089002.7101
MEM 145.500000 1622089002.8175
MEM 145.500000 1622089002.9235
MEM 145.507812 1622089003.0283
MEM 145.515625 1622089003.1332
MEM 145.515625 1622089003.2434
MEM 145.523438 1622089003.3506
MEM 145.531250 1622089003.4626
MEM 145.550781 1622089003.5710
MEM 145.679688 1622089003.6821
MEM 145.683594 1622089003.7896
MEM 145.683594 1622089003.9020
MEM 145.710938 1622089004.0131
MEM 145.722656 1622089004.1201
MEM 145.734375 1622089004.2291
MEM 145.757812 1622089004.3370
MEM 145.785156 1622089004.4466
MEM 145.792969 1622089004.5546
MEM 145.796875 1622089004.6673
MEM 145.808594 1622089004.7766
MEM 145.808594 1622089004.8869
MEM 145.808594 1622089004.9921
MEM 145.820312 1622089005.1025
MEM 145.832031 1622089005.2123
MEM 145.871094 1622089005.3248
MEM 145.871094 1622089005.4310
MEM 145.875000 1622089005.5404
MEM 145.886719 1622089005.6480
MEM 145.898438 1622089005.7580
MEM 145.910156 1622089005.8659
MEM 145.917969 1622089005.9737
MEM 145.917969 1622089006.0814
MEM 145.929688 1622089006.1883
MEM 145.941406 1622089006.2997
MEM 145.949219 1622089006.4076
MEM 145.968750 1622089006.5171
MEM 145.968750 1622089006.6253
MEM 145.968750 1622089006.7364
MEM 145.968750 1622089006.8438
MEM 145.976562 1622089006.9573
MEM 146.031250 1622089007.0678
MEM 146.042969 1622089007.1798
MEM 146.062500 1622089007.2852
MEM 146.062500 1622089007.3941
MEM 146.062500 1622089007.5011
MEM 146.078125 1622089007.6085
MEM 146.078125 1622089007.7187
MEM 146.113281 1622089007.8266
MEM 146.117188 1622089007.9335
MEM 146.136719 1622089008.0414
MEM 146.140625 1622089008.1483
MEM 146.152344 1622089008.2570
MEM 146.164062 1622089008.3654
MEM 146.164062 1622089008.4776
MEM 146.164062 1622089008.5841
MEM 146.183594 1622089008.6896
MEM 146.191406 1622089008.8011
MEM 146.199219 1622089008.9071
MEM 146.199219 1622089009.0168
MEM 146.210938 1622089009.1219
MEM 146.222656 1622089009.2331
MEM 146.222656 1622089009.3432
MEM 146.234375 1622089009.4513
MEM 146.242188 1622089009.5636
MEM 146.265625 1622089009.6688
MEM 146.277344 1622089009.7779
MEM 146.289062 1622089009.8866
MEM 146.300781 1622089009.9963
MEM 146.335938 1622089010.1079
MEM 145.742188 1622089010.2155
MEM 140.761719 1622089010.3229
